tag,Card,Offer,Valid Till,Quotas,Valid On,Other Conditions,link
bms,"YES BANK Credit Cards","Get 25% discount upto INR 250","31-Dec-2025 23:59","Limited","Web and Mobile","Offer can be availed once in a calendar month per card on Movies Only. Offer valid on all days of the week This offer is Valid for YES Bank RESERV Credit Cards (earlier known as YES First Exclusive), YES First PREFERRED Credit Card and YES Bank ELITE Credit Cards (previously known as YES Premia)","https://in.bookmyshow.com/offers/yes-first-preferred,-reserv-&-elite-credit-card-offer/YESCC0124"
bms,"HDFC Bank Times Card","Get 25% discount on purchase of movie tickets","30-Sep-2024 23:59","First come First serve Basis","Web & App","N/A","https://in.bookmyshow.com/offers/hdfc-bank-diners-club-privilege-credit-card-offer/HDFCDZ0623"
bms,"HDFC Bank Timescard Credit Platinum Card","Get 50% discount on purchase of movie tickets","30-Sep-2024 23:59","First come First serve Basis","Web & App","N/A","https://in.bookmyshow.com/offers/hdfc-bank-timescard-offer/HTCCC0324"
bms,"IndusInd Bank Legend, Nexxt, Duo, Iconia, Intermiles Credit Card","Buy 1 ticket and get 1 ticket free","31-Mar-2025 23:59","Limited","Web & App","Proceed to payments page Confirm your details by providing your email id & mobile number as this information will be used for confirming your transaction To avail offer, check 'Unlock Offer or Apply Promocodes' Click on the tab - Credit/ Debit/ Net Banking Click on 'Select Offer' and choose ' IndusInd Bank Legend, Nexxt, Duo, Iconia, Intermiles Credit Card Offer from the offers drop down list Enter your 16 digit credit card number in the box and click on 'Check' Congratulations! You would have successfully availed your offer You will have to pay the remaining transaction amount using the same card on which you have availed the offer. Your card number will auto populate in the box. To make the payment, enter your name on the card, expiry date and CVV card details","https://in.bookmyshow.com/offers/indusind-bank-credit-card-assured-movie-ticket-offer/INDAM0523"
bms,"SBI Signature/Elite Credit Card","upto INR 500 off","31-Mar-2026 23:59","No Quotas","Web & App","Proceed to payments page Confirm your details by providing your email id & mobile number as this information will be used for confirming your transaction To avail offer, check 'Unlock Offer or Apply Promocodes' Click on the tab - Credit/ Debit/ Net Banking Click on 'Select Offer' and choose 'SBI Signature/Elite credit card INR 500 off’ from the offers drop down list Enter your 16 digit credit card number in the box and click on 'Check' Congratulations! You would have successfully availed your offer You will have to pay the remaining transaction amount using the same card on which you have availed the offer. Your card number will auto populate in the box. To make the payment, enter your name on the card, expiry date and CVV card details","https://in.bookmyshow.com/offers/sbi-inr-500-off-on-elite-credit-card/SBI0613"
bms,"RBL Bank Youinque Credit Card","Buy one get one movie ticket free up to INR 200.","31-Oct-2024 23:59","NA","Web & App","The offer can be availed for bookings of movie tickets on BookMyShow. Offer valid once per card per month during the offer duration.","https://in.bookmyshow.com/offers/rbl-bank-younique-credit-card-offer/RBLYOUC520"
pvr,Federal Bank Signet Credit Card,Buy One Get One Ticket,"Wed, Dec 31, 2025","No Quota","Web & Mobile",1.Minimum two movie ticket needs to be purchased in a transaction; 2.Maximum one discounted transactions can be availed per card per quarter"
pvr,Federal Bank Imperio Credit Card,Buy One Get One Ticket,"Wed, Dec 31, 2025","No Quota","Web & Mobile","1.Minimum two movie ticket needs to be purchased in a transaction; 2.Maximum one discounted transactions can be availed per card per quarter"
pvr,Kotak PVR INOX Credit Card,25% Off on F & B,"Sat, Aug 31, 2024","No Quota","Web & Mobile","1.The discount amount cannot exceed 25% per Transaction. Any additional amount has to be borne by the customer; 2.Discount is applicable only on FNB"
pvr,AU Credit Cards,Rs.100 Off on F&B,"Mon, Sep 30, 2024","No Quota","Web & Mobile","1.Offer is applicable on Food & Beverages only; 2.Offer is applicable on a minimum transaction value of INR 300"
